user_id,book_id
167,462
112,217
116,3106
332,2637
360,217
449,6613
533,4363
504,198
580,4327
513,2098
448,3844
497,3844
589,1977
458,217
961,60
585,4055
1135,3122
1211,5573
765,1883
1334,316
1474,7959
1501,119
1616,119
1178,167
1735,974
774,60
1835,119
1890,60
1549,3106
1107,7974
1890,7974
1504,4079
2036,60
1230,119
1860,119
1726,1486
2080,5330
2080,1555
2254,672
1847,316
2431,316
2384,119
605,3456
1173,6588
1173,119
1681,217
2407,6892
968,167
2337,1163
2337,873
2644,174
2652,119
2667,3456
2667,672
898,217
2713,217
2728,217
1903,147
2713,119
1400,6194
2796,119
1823,119
2713,4237
2860,119
2740,3268
2569,3106
2907,60
2738,3456
2438,2098
2747,4310
2747,4017
2747,2413
2747,8393
2889,3456
2953,5155
2963,5399
2437,3505
1582,3291
2809,3133
3079,198
3107,6211
3107,7619
3107,6212
3107,7006
3107,5505
952,8195
2931,176
3049,3133
1609,2555
3115,2098
3141,4526
3061,119
3157,8662
2713,4363
2709,8819
2985,5330
3239,3456
3151,60
3272,119
3277,789
614,176
3269,5315
2080,3106
3293,4079
3360,2255
3293,3844
3023,974
3023,1444
3270,403
2748,5786
3412,7794
3221,119
3470,1163
3563,5786
3517,5155
2437,2637
3092,60
703,4103
2569,4079
2569,3893
3636,198
3655,119
3658,1277
3351,217
3713,3893
837,3844
1649,2129
3351,672
3747,7145
623,5399
2438,6251
2034,4763
3888,119
3915,119
494,60
3628,60
3077,60
3381,5315
4082,217
4058,4047
3107,3752
3738,3268
4078,167
2662,119
457,60
1356,612
1356,725
2471,914
1579,119
4362,403
4359,60
4190,119
4367,60
2117,119
4399,725
709,3444
4072,5599
4466,8902
4486,232
4486,612
4486,725
142,119
4542,6892
4567,2089
3788,5155
4592,60
4622,119
1257,119
1257,60
4004,3268
4229,8970
4229,6650
4229,6340
4229,7589
4229,9848
4229,7113
4229,612
3422,167
3422,4616
4709,119
4551,316
2260,5315
4647,603
3872,3003
237,3456
4791,1929
2635,5399
4619,198
4553,1233
4553,1476
4553,1827
4553,1774
4553,1975
4553,1977
4871,4363
2086,2555
4371,7458
4567,119
3391,119
1081,3456
4586,6588
4926,176
4141,3639
3023,4079
4972,119
4815,119
4984,4319
1468,6194
1608,119
246,5155
5205,3291
5251,7647
5251,7211
4555,217
511,3106
5297,9973
695,2869
5336,217
5156,60
5356,3456
5021,3268
594,4055
4088,60
5397,6340
4202,60
865,4363
4074,316
768,7022
4542,4047
4542,4319
3920,60
5462,671
5462,5665
5462,7006
5432,3893
4352,119
4990,60
4281,217
5522,198
4146,167
5136,174
4367,4237
5534,119
462,7771
5578,3268
4119,60
5118,3229
5118,119
4988,6251
2679,60
491,4103
4936,119
5684,7453
1253,3133
1166,6892
2373,217
5699,4055
662,3456
4846,1444
5503,1929
2478,3505
4213,4050
3444,60
2983,3167
614,2637
5228,9502
5402,7055
4059,7994
5554,217
5809,469
2598,119
469,60
5831,2098
1461,910
1253,3505
5847,60
5844,2555
3183,672
2432,8930
5795,4026
7821,4493
5859,60
5665,4079
5175,60
5945,119
1464,4993
1464,5357
1464,6536
5945,6569
5945,6627
5945,9585
1087,7348
5949,672
5971,316
4846,167
4273,986
4374,403
3270,3268
2302,5911
1708,176
5686,7771
5791,316
423,119
5906,4327
2070,3202
4238,119
4465,3893
5672,1693
5672,1418
5672,1931
2223,3493
4074,217
6046,119
4298,3844
6046,60
1933,3202
1726,232
3826,174
3141,5070
5698,6194
941,6153
1898,60
5368,2637
189,4493
6022,119
3881,2637
6135,2501
6135,2109
6135,2944
2009,7771
189,232
189,612
6151,119
4659,119
1154,2098
1154,3202
1154,1444
1476,244
5567,119
2318,2129
6059,2109
6174,356
6174,873
6174,1033
6174,1163
6174,1289
6174,1233
6174,1476
6174,1549
6174,1774
6174,1975
2361,60
6190,603
6190,1665
6190,9848
6190,8970
318,6130
1638,6528
5457,3802
5372,119
6206,403
2943,167
2424,60
4337,725
3168,119
5281,672
4410,9951
6284,1555
1346,119
1173,217
4649,7022
6284,119
4360,356
5943,2592
6314,119
6336,2255
6203,3493
2599,60
5566,7380
6397,217
6399,403
3890,3632
6401,4363
6401,4237
6263,60
4363,5070
1965,1325
6241,4526
5975,3844
5559,198
6441,60
5705,174
3752,9854
5742,60
3713,60
6474,60
3067,3456
2425,3456
6465,6613
5966,198
2389,316
2389,473
2117,174
976,2637
4837,473
4837,1325
6551,60
6551,119
3071,4079
3823,4471
6559,60
6562,1225
6562,1289
6562,1233
6562,1549
6562,1476
6562,1827
6562,1774
6562,1975
6562,1977
6541,4292
4925,5934
4407,217
2919,119
4046,6234
6586,174
2453,60
2006,217
2006,174
6170,232
6644,789
4938,6579
6144,3106
6443,217
6646,316
5889,3893
3495,3505
5889,2175
3360,6413
5889,60
4871,6194
5672,789
690,5315
2031,9463
6310,4763
6310,8873
6671,6533
286,8669
6725,2501
6725,2109
6756,60
5376,147
3295,9854
5581,174
5581,9854
6752,9995
3605,176
4453,356
448,914
5099,5155
6800,4237
3296,167
6897,217
1044,9187
6905,119
4670,4363
6151,3133
2278,3456
6732,356
6732,873
6956,8819
6203,2383
6966,60
6973,1163
6973,1289
6973,1225
6973,1233
6973,1549
6973,1476
6973,1827
6973,1774
6973,1977
6973,1975
6858,217
3958,4848
6990,167
6990,6234
3763,6413
6993,119
3302,167
3807,60
6930,3456
7024,5340
7052,167
7052,9386
2650,5906
5979,5483
6983,60
6883,1225
7045,1277
2295,174
677,119
690,167
2878,174
3896,4763
2803,1444
7143,9074
3409,7974
7162,403
2560,6413
7196,119
7198,1555
3574,3844
2962,1325
6423,217
7221,119
4670,3456
7220,9155
6657,4429
6657,119
6804,3893
6839,9187
1940,198
3649,167
3550,3003
4780,7825
4183,473
3989,119
6654,119
3021,8653
7141,469
1325,2470
3209,389
7333,6579
6819,473
3027,6533
7224,356
3021,974
4158,8653
6878,60
7375,60
4839,3632
4839,6709
7396,174
2608,3905
6879,147
1274,671
5465,1325
4374,217
5367,3844
3256,5399
1966,198
6572,6413
7275,4292
6757,9854
7398,4079
6682,167
3176,5155
2275,4949
7470,2098
3774,176
1236,3505
6148,6533
4591,174
4551,7380
7461,60
1938,4429
2857,316
356,6047
7564,473
7167,1461
3101,3505
7594,7893
7594,8103
7594,469
3532,174
7452,9499
7452,167
7512,473
5952,4055
5258,6505
6779,3893
7532,1418
7532,1931
7532,1693
7625,6130
6189,2327
4148,3268
5748,60
2610,403
7603,5802
4183,167
7657,356
7658,60
7671,789
7671,9463
2384,174
3849,1325
4634,198
2328,174
6940,119
7720,198
7188,174
7726,4079
7668,873
7668,1977
7668,1975
7668,1774
7668,1476
7668,1549
7668,1233
7668,1289
7668,1225
7668,1163
7668,1033
7668,356
2415,9037
4273,4493
5326,174
5191,2117
7419,974
6056,2117
6864,2268
7697,914
896,3219
7783,244
5515,3375
875,3456
3883,3003
2626,473
67,9519
4167,3905
7753,5093
7753,6194
7784,217
7802,3893
7813,1289
7813,1233
7813,1549
7813,1476
7813,1827
7813,1975
7813,1977
7771,3456
5499,119
7772,4993
2953,3106
4905,3844
6465,7458
3101,2555
7119,403
7831,174
2590,725
7339,232
7339,612
7339,725
7339,176
126,2117
6043,5802
7499,119
7784,119
3011,974
7228,4493
2623,3431
3707,3905
7367,60
7867,1964
7867,2382
7867,2299
7867,167
7374,4949
4202,3208
909,167
7896,789
2890,217
5266,9592
6864,356
6864,873
6864,1033
6864,1163
6864,1225
6864,1233
6864,1289
6864,1549
6864,1476
6864,1827
6864,1774
7810,232
7924,2431
7927,167
7935,5906
1829,60
4529,8393
7958,1555
7966,986
7958,198
7937,5741
481,1555
5734,3905
7285,789
7856,6323
5912,403
7593,174
3647,217
7911,119
4081,174
4326,356
39,1486
5394,2117
2472,9519
1625,3133
6637,167
4521,3208
7853,6251
7865,2098
165,232
4954,4079
7581,167
4797,671
1625,119
7598,60
7065,217
5781,4949
7872,5665
7872,6211
7872,7619
5733,6047
8064,1444
8064,7022
5695,672
2516,565
2516,603
7118,9602
1892,6579
8117,217
8144,60
5200,2117
8177,174
8193,60
449,3844
862,8632
8222,2255
3126,316
7603,2117
8212,3106
5991,2627
6720,1033
6720,1163
6720,1225
6720,1289
6720,1233
6720,1827
6720,1549
6720,1476
6720,1774
6720,1975
6720,1977
8103,3802
8244,3632
6089,4237
8252,5399
7096,174
8143,9187
8252,232
8262,176
7062,3399
3834,217
8273,5969
7158,167
3142,4047
8289,3684
1608,1909
8299,60
7593,3133
7593,3202
6682,3268
8306,174
8306,119
8276,119
8300,4237
402,3893
402,3456
7581,119
6567,119
719,217
4357,3219
7359,7974
4841,3133
6049,2117
8334,217
7362,7559
4641,9525
8359,7559
2945,5615
2945,174
7034,6413
8393,60
7838,316
2307,6097
2307,7771
8396,147
8103,9832
8022,2098
7241,4429
2920,9155
8426,5930
8426,473
8423,4237
8423,217
8423,2117
6796,6455
5885,174
4213,167
8396,60
8509,3618
978,9585
8534,217
8549,60
8558,147
8550,403
8550,356
8573,1325
7721,244
1958,167
7548,167
6636,3268
3754,119
5665,167
4548,147
8591,1975
8591,1977
7709,2117
6126,198
6933,60
4348,167
6483,3905
7217,232
8624,1522
8340,1444
8340,5911
1577,6194
3207,60
1956,60
7786,217
1122,1486
8676,5786
8676,403
8665,119
3862,5906
1026,3268
3862,2129
8693,60
8437,8431
8701,2129
8701,1444
4817,174
8710,3268
8712,403
6158,473
7238,4993
8153,473
8153,1325
8748,4642
8748,3133
7786,2089
667,7543
8744,4848
2088,5155
5074,3268
7538,119
756,1693
5799,3133
1821,174
5422,2383
280,174
8810,7081
8817,7267
7901,232
4438,3268
6005,3268
8824,4066
1826,316
8832,9995
6408,217
8847,119
6348,3893
8841,232
8843,60
1249,174
8862,3456
5702,3699
6248,174
8252,3106
8865,60
6555,198
7188,9995
8874,167
8865,2255
6956,6130
5983,4363
8865,316
4984,174
1507,7593
4531,6251
5218,8653
8924,6579
5825,7994
2714,2255
7565,167
7089,4465
8945,1277
6296,9430
30,2117
8980,4429
6587,4949
5311,3144
8998,6588
7488,198
7488,4055
2449,7458
1242,3106
2794,3505
5367,119
6009,174
9041,469
9045,4103
9050,3268
9053,6385
461,5930
9004,6323
8950,217
146,217
9074,2501
9097,198
8916,7458
9078,3268
9016,356
4466,119
4466,198
4158,2627
4565,3905
8182,4595
8859,2089
9122,60
9122,119
2791,4319
9049,3618
9145,3229
9145,5665
9152,60
105,2299
105,2382
5741,1325
996,4055
9133,3133
6707,4327
6707,119
9161,446
5258,167
2543,60
3575,2175
9069,167
8596,60
350,3268
9211,3268
9175,198
4672,3444
6089,3905
4054,4055
4054,4429
9238,974
807,6528
5246,8819
6646,6406
1047,4106
7119,986
9291,5573
35,198
8542,119
873,217
6268,873
2135,3219
9334,2470
9334,2944
9335,6921
4455,1325
6292,217
2407,3844
5983,3905
5251,3870
8985,198
9031,119
7901,176
8865,4848
9294,5741
7901,2944
8171,5969
9401,60
9395,3133
9395,7566
4298,316
3722,119
9196,8103
9196,7893
279,1018
279,1964
279,2299
279,2382
279,8142
4770,7994
2160,217
7681,174
1439,1909
8807,5449
6274,174
8924,3208
9478,4493
3917,5070
260,2555
9502,232
8554,6323
8554,672
8554,671
9495,2255
9521,2117
2284,3456
423,3219
