Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Month,WeekDay,Day
IndiGo,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226,5,Friday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,16:20,23h 30m,1 stop,In-flight meal not included,10844,3,Sunday,24.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,14:35,10:05 13 Jun,13h 50m,,No info,13044,6,Saturday,15.0
IndiGo,Kolkata,Cochin,CCU → HYD → BLR,19:00,20:05,6h 30m,1 stop,No info,4775,6,Monday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 16 May,14h 35m,1 stop,In-flight meal not included,9663,5,Wednesday,1.0
Multiple carriers,Delhi,Hyderabad,DEL → BOM → COK,13:15,21:00,1h 30m,1 stop,No info,7408,6,Tuesday,18.0
Vistara,Kolkata,Delhi,CCU → DEL → BLR,08:30,09:05 16 May,2h 50m,1 stop,No info,8452,6,Tuesday,18.0
Air India,Delhi,Banglore,DEL → AMD → BOM → COK,16:55,19:15 10 May,26h 45m,2 stops,No info,9653,3,Sunday,24.0
Air India,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,21:50,13h 30m,2 stops,No info,10697,5,Saturday,18.0
IndiGo,Banglore,Delhi,BLR → DEL,23:30,02:20 02 Jun,2h 50m,non-stop,No info,4591,6,Saturday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6h 35m,1 stop,No info,9794,5,Tuesday,21.0
GoAir,Banglore,Cochin,BLR → DEL,13:00,14:30,23h 35m,non-stop,In-flight meal not included,3898,6,Saturday,1.0
GoAir,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,3419,6,Tuesday,18.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,11:40,07:40 19 Mar,20h,1 stop,In-flight meal not included,7832,3,Thursday,21.0
Air India,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372,6,Wednesday,12.0
SpiceJet,Banglore,Kolkata,BLR → DEL,17:45,08:35,2h 20m,non-stop,No check-in baggage included,3971,5,Saturday,18.0
