gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Female,Urban,Bachelor,7.43,1,8,10260.0,More than 1,A,Platinum,67152
Female,Urban,Bachelor,5.67,0,6,7131.0,More than 1,A,Platinum,79224
Female,Urban,High School,9.8,0,5,4247.0,More than 1,B,Silver,97764
Male,Urban,Bachelor,7.26,0,7,3770.0,More than 1,A,Platinum,105096
Male,Urban,High School,7.25,0,2,12126.0,More than 1,A,Platinum,90960
Male,Urban,High School,7.83,1,5,4377.0,1,A,Platinum,36096
Male,Rural,High School,43.39,0,7,6262.0,More than 1,A,Gold,173532
Male,Rural,High School,8.72,1,1,0.0,1,A,Silver,54096
Female,Rural,Bachelor,5.56,1,5,0.0,1,B,Silver,52080
Female,Rural,High School,5.53,1,8,0.0,1,B,Silver,37260
Male,Urban,High School,8.94,0,6,6679.0,1,,Platinum,66108
Female,Urban,Bachelor,8.71,1,7,2234.0,1,C,Platinum,69264
Male,Urban,High School,9.78,1,7,6090.0,More than 1,A,Platinum,99504
Female,Urban,Bachelor,72.04,0,4,4254.0,More than 1,A,Gold,402972
Male,Urban,High School,,1,5,5112.0,1,A,Platinum,36024
Female,Urban,Bachelor,6.04,1,6,0.0,More than 1,A,Gold,93924
Male,Urban,Bachelor,6.98,1,2,3136.0,More than 1,B,Gold,68916
Female,Urban,High School,9.8,1,4,0.0,1,A,Platinum,55176
Male,Urban,High School,3.8,0,8,5481.0,More than 1,A,Platinum,59184
Male,Rural,High School,7.99,1,8,3254.0,More than 1,A,Platinum,68916
Male,Rural,Bachelor,8.57,0,0,0.0,1,B,Platinum,32184
Male,Urban,High School,7.37,1,3,3812.0,More than 1,B,Platinum,507948
Female,Urban,High School,4.1,0,2,5196.0,More than 1,A,Gold,67176
Female,Rural,High School,6.97,1,7,2606.0,More than 1,B,Platinum,62220
Male,Urban,High School,0.46,1,6,4240.0,More than 1,A,Platinum,208248
Male,Urban,High School,6.46,1,5,10649.0,More than 1,A,Platinum,98232
Male,Urban,Others,14.17,0,5,4146.0,More than 1,B,Silver,362604
Female,Rural,Bachelor,6.05,1,5,6408.0,1,,Platinum,137292
Female,Urban,High School,3.19,0,7,6514.0,More than 1,A,Platinum,136440
Female,Rural,Bachelor,6.7,0,0,0.0,More than 1,B,Platinum,73740
Female,Rural,Bachelor,8.8,0,7,0.0,1,B,Platinum,31356
Male,Urban,Bachelor,5.66,0,7,6387.0,More than 1,,Platinum,109476
Male,Urban,High School,2.49,1,7,,1,B,Platinum,157224
Male,Urban,High School,4.26,0,6,3986.0,1,A,Platinum,31992
Male,Urban,High School,4.28,0,4,2272.0,More than 1,C,Platinum,102852
Male,Urban,High School,6.93,1,6,9504.0,More than 1,B,Gold,105276
Male,Rural,Bachelor,5.09,0,6,6291.0,1,A,Platinum,31164
Male,Urban,High School,7.83,0,2,6555.0,1,A,Silver,33432
Male,Urban,Bachelor,1.98,0,3,3148.0,More than 1,B,Silver,116304
Female,Rural,High School,5.35,1,4,3528.0,More than 1,A,Gold,93288
Male,Urban,High School,3.79,1,1,2503.0,More than 1,B,Platinum,212376
Female,Urban,Bachelor,7.89,0,6,2510.0,More than 1,A,Gold,163368
Female,Urban,High School,,0,7,4174.0,More than 1,A,Platinum,103008
Male,Urban,Bachelor,3.21,1,7,5309.0,More than 1,A,Platinum,36240
Male,Urban,Bachelor,9.92,1,5,0.0,1,,Platinum,53964
