lat,lng,store,address
40.711,-74.000878,Starbucks,"375 Pearl st, New York, NY 10038"
40.707142,-74.004987,Starbucks,"135 John Street, New York, NY 10038"
40.708411,-74.007404,Starbucks,"100 William Street, New York, NY 10038"
40.711644,-74.006667,Starbucks,"38 Park Row, #4, New York, NY 10038"
40.710171,-74.007931,Starbucks,"130 Fulton Street, New York, NY 10038"
40.706316,-74.006582,Starbucks,"80 Pine Street, New York, NY 10005"
40.712208,-74.008192,Starbucks,"233 Broadway, New York, NY 10279"
40.708742,-74.009508,Starbucks,"55 Liberty Street, New York, NY 10005"
40.706033,-74.008348,Starbucks,"60 Wall St, New York, NY 10005"
40.704817,-74.007231,Starbucks,"99 Wall St., New York, NY 10005"
40.710924,-74.010283,Starbucks,"195 Broadway, New York, NY 10007"
40.714855,-74.005933,Starbucks,"291 Broadway, New York, NY 10007"
40.715731,-74.003115,Starbucks,"111 Worth Street, New York, NY 10013"
40.708729,-74.011114,Starbucks,"115 Broadway, New York, NY 10006"
40.70746,-74.010961,Starbucks,"14 Wall St, New York, NY 10005"
40.71378,-74.009126,Starbucks,"120 Church Street, New York, NY 10007"
40.704602,-74.009125,Starbucks,"110 Pearl Street, New York, NY 10005"
40.712198,-74.010891,Starbucks,"Two World Trade Center, 33 Vesey St., Loading Dock 2, New York, NY 10007"
40.710372,-74.011793,Starbucks,"4 World Trade Center, LL4350, New York, NY 10007"
40.705161,-74.011295,Starbucks,"55 Broad Street, New York, NY 10004"
40.715536,-74.009036,Starbucks,"125 Chambers Street, New York, NY 10007"
40.713394,-74.011697,Starbucks,"240 Greenwich Street, 16th Floor, New York, NY 10286"
40.706894,-74.013011,Starbucks,"55 Broadway, New York, NY 10006"
40.70921,-74.014159,Starbucks,"15 Carlisle St, New York, NY 10006"
40.718329,-74.000014,Starbucks,"241 Canal Street, New York, NY 10013"
40.704349,-74.013016,Starbucks,"2 Broadway, New York, NY 10004"
40.718904,-74.002519,Starbucks,"405 Broadway, New York, NY 10013"
40.718233,-74.00732,Starbucks,"180 West Broadway, New York, NY 10013"
40.710868,-74.015396,Starbucks,"200 Liberty St, L105, New York, NY 10006"
40.702046,-74.012033,Starbucks,"1 New York Plaza, New York, NY 10004"
40.703287,-74.014122,Starbucks,"1 Battery Park Plaza, New York, NY 10004"
40.719851,-74.004951,Starbucks,"32 Avenue of the Americas, New York, NY 10013"
40.719799,-73.999217,Starbucks,"157 Lafayette street, New York, NY 10013"
40.71417,-74.015437,Starbucks,"250 Vesey Street, 203, New York, NY 10281"
40.720676,-74.010121,Starbucks,"388 Greenwich Street, New York, NY 10013"
40.722536,-73.997959,Starbucks,"72 SPRING STREET, New York, NY 10012"
40.719323,-73.989949,Starbucks,"80 Delancey Street, New York, NY 10002"
40.725772,-74.005579,Starbucks,"150 Varick Street, New York, NY 10013"
40.72689,-74.000262,Starbucks,"482 West Broadway, New York, NY 10012"
40.72756,-74.007408,Starbucks,"345 Hudson St., New York, NY 10014"
40.727193,-73.99546,Starbucks,"665 Broadway, New York, NY 10012"
40.724536,-73.987691,Starbucks,"49 -1/2 First Avenue, New York, NY 10003"
40.72959,-73.996359,Starbucks,"45 West 4th Street, New York, NY 10012"
40.730899,-73.983199,Starbucks,"219 First Avenue, New York, NY 10003"
40.726839,-73.983167,Starbucks,"125 St. Marks Place, New York, NY 10009"
40.733231,-73.980817,Starbucks,"286 First Avenue, A, New York, NY 10009"
40.733749,-73.986598,Starbucks,"145 Third Avenue, New York, NY 10003"
40.730006,-73.991658,Starbucks,"13-25  Astor Place, New York, NY 10003"
40.736546,-73.978377,Starbucks,"400 E 23rd st, New York, NY 10010"
40.735022,-73.989848,Starbucks,"10 UNION SQUARE EAST, New York, NY 10003"
40.729983,-73.994265,Starbucks,"10 Waverly Place, New York, NY 10003"
40.738792,-73.983401,Starbucks,"296-300 Third Avenue, New York, NY 10010"
40.73627,-73.991119,Starbucks,"25 Union Square West, 25, New York, NY 10003"
40.73798,-73.988303,Starbucks,"240 Park Avenue South, New York, NY 10003"
40.74051,-73.984327,Starbucks,"50 Lexington Avenue, New York, NY 10010"
40.74016,-73.986971,Starbucks,"304 Park Avenue South, New York, NY 10010"
40.741792,-73.980775,Starbucks,"393 Third Ave, New York, NY 10016"
40.740382,-73.991165,Starbucks,"4 W. 21st Street, New York, NY 10010"
40.736979,-73.996402,Starbucks,"510 Sixth Avenue, New York, NY 10011"
40.733037,-73.99976,Starbucks,"378 6th Avenue, New York, NY 10011"
40.741661,-73.990313,Starbucks,"14 W. 23rd St, New York, NY 10010"
40.743679,-73.976866,Starbucks,"585 2nd Avenue, New York, NY 10016"
40.741844,-73.993237,Starbucks,"684 Avenue of the Americas, New York, NY 10010"
40.74426,-73.983749,Starbucks,"424 Park Avenue South, New York, NY 10016"
40.730769,-74.002409,Starbucks,"239 Bleecker St, New York, NY 10014"
40.743833,-73.988884,Starbucks,"1140 Broadway, New York, NY 10010"
40.733185,-74.002843,Starbucks,"72 Grove Street, New York, NY 10014"
40.743574,-73.992028,Starbucks,"750 6th Avenue, New York, NY 10010"
40.745018,-73.986763,Starbucks,"261 Fifth Avenue, New York, NY 10016"
40.745452,-73.982179,Starbucks,"475 Park Avenue South, New York, NY 10016"
40.739188,-73.999475,Starbucks,"74 7th Ave, New York, NY 10011"
40.737251,-74.001717,Starbucks,"93 Greenwich Avenue, New York, NY 10014"
40.745213,-73.990874,Starbucks,"776 Avenue of the Americas, New York, NY 10001"
40.746722,-73.981091,Starbucks,"3 Park Avenue, New York, NY 10016"
40.744315,-73.99525,Starbucks,"229 Seventh Avenue, New York, NY 10011"
40.739375,-74.002609,Starbucks,"122 Greenwich Avenue, (space A), New York, NY 10011"
40.733677,-74.006126,Starbucks,"518 Hudson Street, New York, NY 10014"
40.741152,-74.001294,Starbucks,"124 Eighth Avenue, New York, NY 10011"
